;abil;abl;accord;account;accur;accuraci;achiev;action;activ;adapt;addit;address;advantag;agent;aim;algorithm;algorithm base;algorithm use;allow;altern;analysi;analyz;ani;appli;applic;approach;approach use;approxim;architectur;area;articl;artifici;assess;associ;attent;attribut;automat;avail;averag;avoid;base;becaus;becom;behavior;behaviour;benchmark;best;better;build;capabl;case;challeng;chang;characterist;choic;class;classic;classif;classifi;cluster;cluster algorithm;collect;combin;common;compar;comparison;competit;complex;compon;compos;comput;concept;conduct;consequ;consid;consist;construct;context;continu;contribut;control;cost;creat;current;data;data set;databas;dataset;deal;decid;decis;deep;defin;demonstr;depend;describ;design;despit;detect;determin;develop;differ;dimension;direct;distribut;divers;domain;dure;dynam;effect;effici;empir;employ;enabl;ensembl;environ;error;estim;evalu;evolut;evolutionari;evolutionari algorithm;exampl;execut;exist;experi;experiment;experiment result;exploit;explor;express;extend;extens;extract;face;fact;featur;field;filter;final;focus;follow;framework;function;general;generat;genet;genet algorithm;given;goal;good;graph;great;group;hard;help;heurist;high;higher;howev;human;hybrid;identif;identifi;imag;impact;implement;import;improv;improv perform;includ;increas;indic;individu;infer;inform;initi;input;instanc;intellig;interact;introduc;investig;involv;issu;knowledg;known;label;languag;larg;lead;learn;learn algorithm;level;like;limit;linear;literatur;local;logic;low;machin;machin learn;main;major;make;manag;mani;map;mean;measur;mechan;memori;method;method use;metric;minim;model;monitor;moreov;multi-object;multipl;natur;need;network;neural;neural network;new;novel;number;object;observ;obtain;onli;oper;optim;optim problem;order;organ;origin;outperform;output;overcom;paper;paper present;paper propos;paramet;particl;particular;pattern;perform;point;popular;posit;possibl;potenti;power;practic;predict;present;previous;probabilist;probabl;problem;process;produc;product;program;promis;promis result;properti;propos;propos algorithm;propos approach;propos method;propos new;propos use;provid;public;purpos;qualiti;random;rate;real;real-world;reason;recent;recent year;recognit;recommend;reduc;regard;regress;relat;relev;report;repres;represent;requir;research;result;result obtain;result propos;robust;rule;sampl;scenario;search;second;select;semant;set;sever;shown;signific;similar;simpl;simul;sinc;singl;size;small;social;solut;solv;space;specif;standard;state;state-of-the-art;statist;step;strategi;structur;studi;success;suggest;suitabl;supervis;support;swarm;synthet;task;techniqu;term;test;text;theori;therefor;time;tool;tradit;train;tree;type;understand;use;user;usual;valid;valu;variabl;variant;various;vector;veri;verifi;version;way;well-known;wide;word;work;work propos;world;year
Heinen, Milton Roberto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;alto;alto;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;alto;zero;zero;zero;zero;baixo;zero;baixo;zero;zero;zero;zero;zero;baixo;zero;medio;baixo;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;baixo;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero
Engel, Paulo Martins;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;alto;alto;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;alto;zero;zero;zero;zero;baixo;zero;baixo;zero;zero;zero;zero;zero;baixo;zero;medio;baixo;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;baixo;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero
Zalewski, Willian;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;alto;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;medio;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;alto;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio
Silva, Fabiano;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;alto;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;medio;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;alto;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio
Wu, Feng Chung;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;alto;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;medio;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;alto;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio
Lee, Huei Diana;zero;zero;baixo;baixo;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;baixo;baixo;zero;baixo;zero;zero;zero;zero;baixo;zero;zero;medio;zero;medio;zero;zero;zero;baixo;zero;baixo;zero;zero;zero;zero;zero;zero;baixo;baixo;zero;baixo;zero;baixo;zero;baixo;zero;zero;baixo;zero;zero;alto;zero;zero;zero;medio;medio;zero;zero;zero;zero;baixo;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;alto;zero;zero;alto;zero;zero;zero;zero;zero;baixo;zero;baixo;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;baixo;zero;medio;zero;zero;zero;medio;zero;zero;zero;medio;baixo;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;medio;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;medio;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;baixo;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;alto;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;baixo;zero;zero;zero;zero;zero;baixo;zero;zero;zero;baixo;baixo;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;baixo;zero;zero;zero;zero;baixo;zero;zero;zero;baixo;baixo;zero;medio;zero;zero;baixo;zero;zero;zero;zero;zero;baixo;zero;baixo;baixo;zero;zero;baixo;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;zero;alto;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;alto;zero;baixo;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;baixo;zero;zero;zero;zero;medio;zero;zero;medio;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;baixo;zero;baixo
Maletzke, Andre Gustavo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;medio;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;alto;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;medio;medio;zero;zero;medio;medio;zero;zero;medio;zero;zero;zero;zero;zero;zero;alto;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio
dos Santos Neto, Baldoino F.;zero;medio;zero;medio;zero;zero;zero;zero;baixo;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;zero;medio;zero;zero;zero;medio;zero;baixo;zero;baixo;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;medio;zero;zero;zero;zero;medio;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;baixo;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;baixo;zero;zero;zero
da Silva, Viviane Torres;zero;medio;zero;medio;zero;zero;zero;zero;baixo;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;medio;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;medio;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;medio;zero;zero;zero;zero;zero;zero;zero;baixo;zero;medio;zero;zero;zero;medio;zero;baixo;zero;baixo;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;medio;zero;zero;zero;zero;medio;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;baixo;zero;zero;medio;medio;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;baixo;zero;zero;zero
de Lucena, Carlos J. P.;zero;baixo;zero;medio;zero;zero;zero;zero;baixo;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;baixo;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;medio;zero;baixo;zero;zero;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;medio;zero;zero;zero;zero;zero;zero;zero;alto;zero;baixo;zero;zero;zero;baixo;zero;baixo;zero;baixo;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;medio;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;medio;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;baixo;zero;zero;baixo;baixo;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;baixo;alto;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;baixo;zero;zero;zero;baixo;zero;zero;zero
Hoelz, Bruno W. P.;zero;zero;zero;zero;zero;zero;medio;zero;zero;baixo;zero;zero;zero;alto;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;alto;zero;zero;baixo;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;baixo;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;baixo;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;alto;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;medio;zero;zero;zero;zero;zero;zero;baixo;medio;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;baixo;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;baixo;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero;zero
